host_name	match	taxid	group	n.genomes	correction	corrected.taxid	reassigned
	NA	NA	CORRECTION	281796	NA	NA	TRUE
" tomato, solanum lycopersicum"	NA	NA	NA	2	NA	NA	NA
"""ipomoea aquatic"""	NA	NA	NA	1	NA	NA	NA
"bryde’s whale (balaenoptera edeni) "	NA	NA	NA	1	NA	NA	NA
"buffalo "	NA	NA	NA	1	NA	NA	NA
"cat "	NA	NA	NA	1	NA	NA	NA
"finger millet, eleusine coracana "	NA	NA	NA	1	NA	NA	NA
"pig, sus scrofa "	NA	NA	NA	10	NA	NA	NA
"silver king pigeon, columba livia "	NA	NA	NA	1	NA	NA	NA
''penicillium bilaiae	penicillium bilaiae	69765	CONFIDENT	1	NA	NA	NA
1758)	NA	NA	CORRECTION	13	NA	NA	TRUE
2-week old broiler chicken infected with salmonella enterica serovar heidelberg biosample: samn12082795; sample name: sh-2813-parental 2; sra: srs4982872	gallus gallus domesticus	9031	CONFIDENT	1	NA	NA	NA
abalone	abalone	6453	EXACT	6	NA	NA	NA
abalone, haliotis	haliotis	6452	CONFIDENT	3	NA	NA	NA
abalone, haliotis discus hannai	haliotis discus hannai	42344	CONFIDENT	2	NA	NA	NA
abelmoschus esculentus	abelmoschus esculentus	455045	EXACT	4	NA	NA	NA
abutilon indicum	abutilon indicum	318060	EXACT	2	NA	NA	NA
abutilon palmeri	abutilon palmeri	2042351	EXACT	7	NA	NA	NA
abyssinian ground hornbill	bucorvus abyssinicus	153643	CONFIDENT	1	NA	NA	NA
abyssogena phaseoliformis	abyssogena phaseoliformis	1871145	EXACT	1	NA	NA	NA
abyssogena southwardae	abyssogena southwardae	1181306	EXACT	1	NA	NA	NA
acacia	acacia	3808	EXACT	3	NA	NA	NA
acacia acuminata	acacia acuminata	178749	EXACT	5	NA	NA	NA
acacia farnesiana	acacia farnesiana	72368	EXACT	4	NA	NA	NA
acacia gummifera	acacia gummifera	1094598	EXACT	1	NA	NA	NA
acacia mangium	acacia mangium	224085	EXACT	1	NA	NA	NA
acacia raddiana	acacia raddiana	1095369	EXACT	1	NA	NA	NA
acacia senegal	acacia senegal	138043	EXACT	3	NA	NA	NA
acacia seyal	acacia seyal	138044	EXACT	4	NA	NA	NA
acaciella	acaciella	468125	EXACT	1	NA	NA	NA
acaciella angustissima	acaciella angustissima	468212	EXACT	1	NA	NA	NA
acanthamoeba	acanthamoeba	5754	EXACT	2	NA	NA	NA
acanthamoeba polyphaga	acanthamoeba polyphaga	5757	EXACT	2	NA	NA	NA
acanthamoeba polyphaga hn-3	acanthamoeba polyphaga	5757	CONFIDENT	6	NA	NA	NA
acanthamoeba sp.	acanthamoeba sp.	5756	EXACT	3	NA	NA	NA
acanthamoeba sp. acf125	acanthamoeba acf125	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. acf65	acanthamoeba acf65	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. acf82	acanthamoeba acf82	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. acf95	acanthamoeba acf95	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. atcc pra2	acanthamoeba atcc pra2	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. ste3	acanthamoeba ste3	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. uwet39	acanthamoeba sp. uwet39	332199	EXACT	2	NA	NA	NA
acanthamoebae castellanii; other acanthamoebae sp.	acanthamoeba castellanii	5755	CONFIDENT	1	NA	NA	NA
acanthaphora specifera	Acanthophora specifera	NA	CORRECTION	1	Acanthophora specifera	NA	TRUE
acanthaster planci	acanthaster planci	133434	EXACT	1	NA	NA	NA
acanthella acuta	acanthella acuta	85783	EXACT	1	NA	NA	NA
acanthospermum hispidum	acanthospermum hispidum	182999	EXACT	1	NA	NA	NA
acanthurus sohal	acanthurus sohal	1484167	EXACT	3	NA	NA	NA
acanthus ilicifolius	acanthus ilicifolius	328098	EXACT	2	NA	NA	NA
acartia tonsa	acartia tonsa	136180	EXACT	2	NA	NA	NA
accipiter gentilis	accipiter gentilis	8957	EXACT	7	NA	NA	NA
accipitridae	accipitridae	56259	EXACT	2	NA	NA	NA
acer buergerianum	acer buergerianum	57649	EXACT	3	NA	NA	NA
acer pseudoplatanus	acer pseudoplatanus	4026	EXACT	2	NA	NA	NA
acer sp.	acer sp.	2942657	EXACT	2	NA	NA	NA
acetobacteraceae	acetobacteraceae	433	EXACT	1	NA	NA	NA
acheta domesticus	acheta domesticus	6997	EXACT	1	NA	NA	NA
achillea ptarmica	achillea ptarmica	133233	EXACT	3	NA	NA	NA
achillia millefolium	achillea millefolium	13329	CONFIDENT	1	NA	NA	NA
acidulobus	Acidulobus aceticus	NA	CORRECTION	2	Acidulobus aceticus	NA	TRUE
acinonyx jubatus	acinonyx jubatus	32536	EXACT	1	NA	NA	NA
acorn squash	acorn squash	300795	EXACT	2	NA	NA	NA
acorus calamus	acorus calamus	4465	EXACT	1	NA	NA	NA
acromis sparsa	acromis sparsa	111205	EXACT	1	NA	NA	NA
